,unemployedF,total,public use microdata area
0,0.11809815950920245,1304,100
1,0.12065095398428732,1782,200
2,0.08630393996247655,1066,300
3,0.11740331491712708,724,401
4,0.08360258481421648,2476,402
5,0.1067463706233988,1171,403
6,0.08525429930479327,2733,500
7,0.06691109074243813,1091,600
8,0.10249510763209393,4088,701
9,0.03974358974358974,1560,702
10,0.04984828781967924,2307,703
11,0.09330985915492958,1136,704
12,0.0669811320754717,1060,800
13,0.047149894440534836,1421,901
14,0.1510717931269139,2939,902
15,0.17789373814041745,2108,903
16,0.025176233635448138,993,904
17,0.02664298401420959,1126,905
18,0.10642040457343888,2274,906
19,0.015891032917139614,881,1000
20,0.06833333333333333,1200,1101
21,0.06701030927835051,776,1102
22,0.041666666666666664,1104,1201
23,0.09889349930843706,1446,1202
24,0.08948194662480377,637,1203
25,0.11589403973509933,1510,1204
26,0.10353982300884956,2260,1205
27,0.056139198949441894,3046,1206
28,0.059130434782608696,1150,1207
29,0.07841140529531568,982,1300
30,0.03892493049119555,1079,1400
31,0.04144144144144144,1110,1500
32,0.0412621359223301,1236,1600
33,0.09193913887989641,3089,1700
34,0.0,1231,1801
35,0.07610146862483311,749,1802
36,0.11119030648610122,2806,1900
37,0.06862017804154302,2696,2001
38,0.07908611599297012,2276,2002
39,0.17798594847775176,1281,2100
40,0.04851157662624035,1814,2201
41,0.01098901098901099,819,2202
42,0.0581039755351682,981,2203
43,0.018849685838569358,2069,2300
44,0.04992867332382311,1402,2401
45,0.04148783977110158,699,2402
46,0.08959044368600683,1172,2500
47,0.03699788583509514,946,2600
48,0.06451612903225806,2852,2701
49,0.11049532386560443,2887,2702
50,0.059532780708364735,1327,2801
51,0.10660302307080351,3771,2802
52,0.07154213036565978,2516,2901
53,0.09553023663453111,2282,2902
54,0.03203416978109984,1873,2903
55,0.0629575402635432,2049,3001
56,0.023197492163009405,1595,3002
57,0.05327102803738318,1070,3003
58,0.12480127186009539,1258,3101
59,0.06484751203852328,3115,3102
60,0.016815034619188922,1011,3103
61,0.06920199501246883,1604,3104
62,0.055220017256255395,3477,3105
63,0.06973180076628352,3915,3106
64,0.0846727898966705,3484,3107
65,0.046221570066030816,1363,3201
66,0.03166023166023166,1295,3202
67,0.08955223880597014,1541,3203
68,0.03969270166453265,2343,3204
69,0.06218181818181818,2750,3205
70,0.025753551218385493,8659,3206
71,0.06015960712093309,1629,3207
72,0.11943539630836048,921,3208
73,0.06606217616580311,772,3209
74,0.035256410256410256,2496,3210
75,0.07661290322580645,2232,3211
76,0.15794143744454303,1127,3212
77,0.05103280680437424,823,3301
78,0.13665594855305466,622,3302
79,0.05606060606060606,660,3303
80,0.0427074939564867,1241,3304
81,0.004077471967380225,1962,3305
82,0.04600606673407482,1978,3306
83,0.05067567567567568,1184,3307
84,0.05723905723905724,1485,3308
85,0.023166023166023165,1036,3309
86,0.048292514660227666,5798,3310
87,0.09943360604153556,1589,3311
88,0.03211303789338472,1557,3312
89,0.018310911808669655,2676,3313
90,0.11296296296296296,3240,3701
91,0.10245901639344263,2684,3702
92,0.06585641605426795,3538,3703
93,0.08911542255836896,3041,3704
94,0.10261026102610261,3333,3705
95,0.09691533581273244,4571,3706
96,0.08521220159151194,3016,3707
97,0.052887364208118924,3498,3708
98,0.08122801407099456,6254,3709
99,0.07656116338751069,2338,3710
100,0.08132287897064737,9948,3801
101,0.06445755787562416,8812,3802
102,0.10475534114403859,4353,3803
103,0.08603531300160513,3115,3804
104,0.026277372262773723,3425,3805
105,0.08385481852315395,3995,3806
106,0.06578947368421052,3420,3807
107,0.04835164835164835,2275,3808
108,0.06907103825136612,4575,3809
109,0.049364791288566245,2755,3810
110,0.05042918454935622,932,3901
111,0.024915824915824916,1485,3902
112,0.06063829787234042,3760,3903
113,0.07734806629834254,2896,4001
114,0.0935672514619883,3420,4002
115,0.10033030553261767,2422,4003
116,0.07672920750490059,3571,4004
117,0.07096774193548387,3100,4005
118,0.06438253012048192,2656,4006
119,0.09304084720121028,1322,4007
120,0.08098307816277196,2482,4008
121,0.02682701202590194,2162,4009
122,0.10333106730115568,1471,4010
123,0.06738351254480286,1395,4011
124,0.0488287693830419,3031,4012
125,0.08135775862068965,1856,4013
126,0.046433378196500674,1486,4014
127,0.10514541387024609,2235,4015
128,0.05572755417956656,1292,4016
129,0.08520526723470179,1291,4017
130,0.04954954954954955,1332,4018
131,0.07654455986878075,3658,4101
132,0.02663142915226672,4919,4102
133,0.06445264452644527,4065,4103
134,0.0779169929522318,2554,4104
135,0.07516684229012996,5694,4105
136,0.058376649340263896,5002,4106
137,0.06486486486486487,2590,4107
138,0.012940651494868362,2241,4108
139,0.03729433272394881,2735,4109
140,0.07076622742801367,2049,4110
141,0.06942695214105793,6352,4111
142,0.08060536272413225,6079,4112
143,0.07853746515822266,6099,4113
144,0.08416622830089426,1901,4114
